CDOR3M,3M3M,6M3M,9M3M,12M3M,15M3M,18M3M,21M3M,24M3M
1.7225,1.959464286,2.137149725,2.280467033,2.397706044,2.481116071,2.545364011,2.599038462,2.63760989
1.72,1.953293269,2.126861264,2.261510989,2.379903846,2.463973214,2.528550824,2.58271978,2.621428571
1.7175,1.921006181,2.085377747,2.220192308,2.33896978,2.423509615,2.493214286,2.55228022,2.591208791
1.7175,1.954065934,2.11375,2.243873626,2.363214286,2.452936126,2.527554945,2.586840659,2.626236264
1.7025,1.897163462,2.047321429,2.177448489,2.292225275,2.382111951,2.456895604,2.516401099,2.555961538
1.6975,1.860556319,2.01103022,2.141339286,2.256236264,2.346287775,2.421236264,2.480961538,2.520549451
1.695,1.830865385,1.995693681,2.122166896,2.232884615,2.323578297,2.399072802,2.459464286,2.49978022
1.695,1.834124313,1.998880495,2.125793269,2.236675824,2.327589286,2.408131868,2.468804945,2.519175824
1.69625,1.842015797,2.011826923,2.144196429,2.265054945,2.356600275,2.437252747,2.498145604,2.548626374
1.6975,1.8503125,2.019958791,2.157489698,2.273997253,2.375123626,2.456373626,2.517486264,2.568076923
1.695,1.896037088,2.068090659,2.206006181,2.322733516,2.414622253,2.495494505,2.556826923,2.607527473
1.69125,1.890837912,2.062486264,2.197053571,2.318461538,2.41165522,2.492857143,2.554848901,2.605879121
1.68375,1.845621566,2.020048077,2.160072115,2.277678571,2.370666209,2.451978022,2.51418956,2.56532967
1.6825,1.834450549,2.00375,2.143588599,2.257005495,2.340824176,2.421098901,2.48353022,2.53478022
1.68375,1.847692308,2.012561813,2.152105082,2.265796703,2.349945055,2.421442308,2.482870879,2.534230769
1.6775,1.827438187,1.986483516,2.125621566,2.235288462,2.319065934,2.390673077,2.452211538,2.503681319
1.6775,1.835659341,2.000309066,2.141171016,2.251826923,2.336428571,2.408365385,2.470233516,2.522032967
1.675,1.837929258,2.003495879,2.1446875,2.251593407,2.335549451,2.407596154,2.461311813,2.511483516
1.6725,1.850089286,2.020673077,2.167211538,2.279519231,2.356586538,2.426826923,2.480762363,2.530934066
1.665,1.866057692,2.034869505,2.176720467,2.288365385,2.373791209,2.438049451,2.498255495,2.550384615
1.66,1.855216346,2.019175824,2.156339286,2.267211538,2.345048077,2.40739011,2.467596154,2.519835165
1.6575,1.844447115,2.008901099,2.143320742,2.25375,2.340274725,2.412980769,2.475618132,2.528186813
1.6575,1.837524038,2.005803571,2.149302885,2.262596154,2.349395604,2.42967033,2.502451923,2.565164835
1.66,1.869955357,2.040384615,2.182819368,2.300082418,2.388516484,2.461442308,2.531682692,2.594505495
1.66,1.8678125,2.035075549,2.176335852,2.290288462,2.377637363,2.450673077,2.520913462,2.583846154
1.66,1.862554945,2.029931319,2.170401786,2.285673077,2.374120879,2.447596154,2.517836538,2.581208791
1.66,1.876875,2.048282967,2.185625,2.30282967,2.393241758,2.466826923,2.537067308,2.600549451
1.66,1.869567308,2.041634615,2.179196429,2.293365385,2.382362637,2.456057692,2.526298077,2.583241758
1.65625,1.8478125,2.008653846,2.139584478,2.252211538,2.341483516,2.415288462,2.485528846,2.542692308
1.65875,1.848763736,2.012115385,2.146339286,2.261057692,2.350604396,2.424519231,2.494759615,2.552142857
1.66125,1.853028846,2.0225,2.154089973,2.267596154,2.357967033,2.432211538,2.502451923,2.560494505
1.67,1.884344093,2.063853022,2.197716346,2.314368132,2.412973901,2.491442308,2.561682692,2.619945055
1.67,1.894690934,2.077259615,2.21134272,2.325288462,2.42198489,2.500673077,2.570913462,2.629395604
1.6725,1.889399038,2.067884615,2.19717033,2.306318681,2.39532967,2.469903846,2.540144231,2.598846154
1.6775,1.891088599,2.061346154,2.190851648,2.302980769,2.394450549,2.469134615,2.539375,2.598296703
1.6775,1.906964286,2.096978022,2.247211538,2.369519231,2.461813187,2.536826923,2.601771978,2.651318681
1.6775,1.904567308,2.087712912,2.230625,2.348365385,2.446050824,2.526057692,2.591112637,2.640879121
1.6775,1.894955357,2.068557692,2.209196429,2.327211538,2.420054945,2.495288462,2.560453297,2.61043956
1.6775,1.8878125,2.059512363,2.195353709,2.308626374,2.399175824,2.474519231,2.539793956,2.59
1.675,1.880669643,2.052918956,2.186620879,2.297527473,2.388296703,2.46375,2.529134615,2.57956044
1.6725,1.881401099,2.058138736,2.190470467,2.297019231,2.381201923,2.446950549,2.507156593,2.558241758
1.67,1.879203297,2.05654533,2.189206731,2.295975275,2.380432692,2.441909341,2.492081044,2.537802198
1.67,1.884055632,2.064951923,2.197942995,2.300728022,2.379663462,2.44135989,2.491531593,2.533021978
1.67,1.874807692,2.053358516,2.184649725,2.286840659,2.364766484,2.42081044,2.470982143,2.512692308
1.67,1.875669643,2.05176511,2.183440934,2.285851648,2.364107143,2.420260989,2.470432692,2.516483516
1.67,1.874241071,2.050192308,2.17981456,2.282884615,2.365817308,2.428612637,2.475027473,2.511373626
1.67,1.878818681,2.060391484,2.195360577,2.301895604,2.385048077,2.448063187,2.494587912,2.531043956
1.6675,1.874955357,2.050432692,2.179096841,2.28418956,2.364278846,2.427513736,2.474148352,2.510714286
1.6575,1.884423077,2.062321429,2.182898352,2.276593407,2.350151099,2.406964286,2.453708791,2.490384615
1.6525,1.879114011,2.050892857,2.173389423,2.269107143,2.339491758,2.396414835,2.443269231,2.480054945
1.6475,1.852850275,2.026607143,2.149927885,2.246634615,2.317513736,2.374766484,2.421950549,2.459065934
1.6375,1.840762363,2.015178571,2.138774038,2.23581044,2.306854396,2.364217033,2.411510989,2.448736264
1.6475,1.813674451,1.990048077,2.117620192,2.214986264,2.286195055,2.343667582,2.391071429,2.428406593
1.6325,1.869038462,2.05356456,2.181466346,2.28043956,2.352946429,2.403118132,2.450631868,2.488076923
1.6225,1.876840659,2.062081044,2.191517857,2.293337912,2.362396978,2.410054945,2.450192308,2.485164835
1.606,1.851253434,2.043653846,2.177891484,2.280865385,2.350748626,2.398736264,2.43665522,2.466758242
1.552,1.764000687,1.957115385,2.091682692,2.194038462,2.260199176,2.308296703,2.346325549,2.376428571
1.552,1.75674794,1.950576923,2.084543269,2.183269231,2.249649725,2.297857143,2.335995879,2.366098901
1.55,1.766177885,1.969896978,2.10926511,2.214285714,2.289100275,2.335563187,2.365666209,2.393846154
1.542,1.737970467,1.954162088,2.099429945,2.205096154,2.276902473,2.324244505,2.352898352,2.371483516
1.524,1.74049794,1.957513736,2.103221154,2.208653846,2.276353022,2.323914835,2.352678571,2.371373626
1.516,1.722513736,1.935865385,2.082012363,2.187884615,2.255803571,2.303585165,2.332458791,2.351263736
1.508,1.715188874,1.927623626,2.075968407,2.184038462,2.253056319,2.301936813,2.33135989,2.350714286
1.514,1.752644231,1.960576923,2.099543269,2.203269231,2.272506868,2.321607143,2.35114011,2.370604396
1.49,1.700336538,1.909038462,2.048228022,2.147321429,2.211565934,2.250851648,2.27092033,2.290494505
1.474,1.682884615,1.882321429,2.012129121,2.111483516,2.171126374,2.210631868,2.230700549,2.250384615
1.46,1.650652473,1.851373626,1.976287775,2.070686813,2.120686813,2.160618132,2.190240385,2.200274725
1.452,1.629684066,1.82978022,1.95228022,2.048173077,2.099210165,2.139505495,2.169732143,2.18989011
1.442,1.637300824,1.837582418,1.965793269,2.05728022,2.108660714,2.149065934,2.179402473,2.19967033
1.445,1.597015797,1.757307692,1.879642857,1.976085165,2.037733516,2.088282967,2.128763736,2.149450549
1.436,1.6,1.765254121,1.888324176,1.985041209,2.056586538,2.11728022,2.158324176,2.179230769
1.432,1.593609203,1.753791209,1.877005495,1.973997253,2.045817308,2.106620879,2.147884615,2.178516484
1.43,1.582967033,1.748001374,1.873049451,1.970865385,2.043509615,2.104642857,2.146565934,2.177527473
1.43,1.571208791,1.740618132,1.866730769,1.969285714,2.042740385,2.103983516,2.146126374,2.177197802
1.432,1.56509272,1.73375,1.860412088,1.958777473,2.031971154,2.093324176,2.135686813,2.166868132
1.436,1.614903846,1.786881868,1.914093407,2.017087912,2.091201923,2.143887363,2.185247253,2.216538462
1.434,1.646421703,1.815748626,1.938492445,2.03668956,2.110432692,2.163337912,2.204807692,2.236208791
1.42,1.616991758,1.777108516,1.895583791,1.993557692,2.059821429,2.11168956,2.153489011,2.18521978
1.408,1.533760302,1.67731456,1.794375,1.884354396,1.957355769,2.01114011,2.053049451,2.08489011
1.405,1.533303571,1.675721154,1.789158654,1.874395604,1.946586538,2.000590659,2.04260989,2.07456044
1.405,1.526875,1.669127747,1.779052198,1.863516484,1.935817308,1.990041209,2.03217033,2.064230769
1.404,1.520446429,1.662534341,1.776850962,1.862637363,1.927184066,1.979491758,2.021730769,2.053901099
1.402,1.518557692,1.66646978,1.783389423,1.87,1.935206044,1.987843407,2.030412088,2.070549451
1.402,1.522019231,1.669821429,1.787235577,1.877815934,1.944546703,1.997293956,2.039972527,2.08010989
1.402,1.532657967,1.683173077,1.801081731,1.888241758,1.953887363,2.006744505,2.049532967,2.08967033
1.402,1.539543269,1.691524725,1.809927885,1.897362637,1.963228022,2.016195055,2.059093407,2.099230769
1.402,1.546318681,1.699876374,1.818774038,1.906483516,1.972568681,2.025645604,2.068653846,2.108791209
1.402,1.536043956,1.686600275,1.8053125,1.893846154,1.960590659,2.013997253,2.057335165,2.097472527
1.402,1.5490625,1.705006868,1.824158654,1.912967033,1.979931319,2.033447802,2.076895604,2.117032967
1.402,1.54393544,1.695192308,1.809766484,1.893832418,1.952726648,1.996318681,2.036456044,2.076593407
1.402,1.550216346,1.706820055,1.823667582,1.904807692,1.968612637,2.015879121,2.056016484,2.096153846
1.4,1.542524038,1.700446429,1.819271978,1.901730769,1.965975275,2.014120879,2.054258242,2.094395604
1.4,1.542726648,1.695961538,1.813173077,1.898887363,1.959429945,2.003681319,2.043818681,2.083956044
1.404,1.527400412,1.671586538,1.781366758,1.860192308,1.918880495,1.963241758,2.003379121,2.043516484
1.408,1.525697115,1.667321429,1.775377747,1.851607143,1.908331044,1.952802198,1.99293956,2.033076923
1.411,1.547122253,1.701346154,1.814388736,1.890892857,1.942225275,1.982362637,2.0225,2.062637363
1.411,1.5540625,1.711730769,1.829000687,1.90875,1.966133242,2.011043956,2.051181319,2.091318681
1.41,1.53467033,1.680178571,1.792956731,1.875576923,1.935583791,1.980604396,2.020741758,2.060879121
1.412,1.545477335,1.68875,1.796974588,1.874807692,1.935034341,1.985206044,2.030302198,2.07043956
1.415,1.536394231,1.674924451,1.781040522,1.856607143,1.91448489,1.964656593,2.009862637,2.05
1.414,1.549395604,1.693550824,1.800106456,1.875892857,1.93393544,1.984107143,2.029423077,2.06956044
1.414,1.559120879,1.704429945,1.812304258,1.890961538,1.952287088,2.002458791,2.048104396,2.088241758
1.414,1.56946772,1.718056319,1.826370192,1.907348901,1.976085165,2.031909341,2.077664835,2.117802198
1.416,1.592654533,1.735480769,1.833351648,1.909423077,1.975425824,2.03135989,2.077225275,2.117362637
1.426,1.639855769,1.770247253,1.858413462,1.928653846,1.994766484,2.05081044,2.096785714,2.141153846
1.426,1.633207418,1.764148352,1.854618819,1.927884615,1.994107143,2.050260989,2.096346154,2.136483516
1.43,1.628262363,1.760851648,1.852146291,1.925576923,1.992129121,2.048612637,2.095027473,2.135164835
1.43,1.656614011,1.789752747,1.881322115,1.951263736,2.01146978,2.068063187,2.114587912,2.154725275
1.43,1.659962225,1.805336538,1.902197802,1.977321429,2.04081044,2.097513736,2.144148352,2.184285714
1.426,1.658149038,1.804182692,1.899673764,1.969945055,2.026792582,2.076964286,2.123708791,2.163846154
1.4248,1.671002747,1.828028846,1.922259615,1.989285714,2.046243132,2.093131868,2.133269231,2.173406593
1.425,1.676459478,1.839567308,1.933526786,1.994423077,2.04459478,2.091813187,2.131950549,2.172087912
1.423,1.694426511,1.858413462,1.951442308,2.010260989,2.061236264,2.101373626,2.141510989,2.181648352
1.418,1.697393544,1.862259615,1.957098214,2.019656593,2.070796703,2.110934066,2.151071429,2.191208791
1.416,1.695360577,1.861105769,1.956383929,2.019052198,2.072946429,2.120494505,2.160631868,2.200769231
1.414,1.692228709,1.862513736,1.963526786,2.026634615,2.078598901,2.118736264,2.158873626,2.199010989
1.408,1.664244505,1.831304945,1.9328125,1.99603022,2.048159341,2.088296703,2.128434066,2.168571429
1.408,1.667266484,1.835096154,1.938959478,2.009478022,2.059649725,2.107857143,2.147994505,2.188131868
1.411,1.665288462,1.833887363,1.938135302,2.008928571,2.059100275,2.107417582,2.147554945,2.187692308
1.413,1.66331044,1.832678571,1.937311126,2.010054945,2.068550824,2.116978022,2.157115385,2.197252747
1.415,1.652376374,1.824052198,1.929182692,1.998076923,2.056902473,2.105659341,2.145796703,2.185934066
1.42,1.669831731,1.836675824,1.9328125,1.996181319,2.046353022,2.09521978,2.135357143,2.175494505
1.434,1.69842033,1.871634615,1.977644231,2.046758242,2.105803571,2.15478022,2.193688187,2.225054945
1.432,1.741442308,1.914951923,2.016383929,2.080590659,2.134203297,2.173255495,2.203358516,2.234615385
1.434,1.724464286,1.898798077,2.001541896,2.07543956,2.133763736,2.172925824,2.203028846,2.233131868
1.436,1.73353022,1.910082418,2.008798077,2.078173077,2.132445055,2.171936813,2.202039835,2.232142857
1.436,1.726370192,1.898784341,1.993028846,2.062335165,2.112005495,2.151607143,2.181710165,2.211813187
1.437,1.714574176,1.892596154,1.982259615,2.051785714,2.101565934,2.141277473,2.171840659,2.211978022
1.44,1.692451923,1.861607143,1.951490385,2.021236264,2.071126374,2.110947802,2.141401099,2.181538462
1.45,1.705875687,1.876167582,1.965927198,2.035755495,2.090686813,2.130618132,2.160961538,2.200824176
1.456,1.74143544,1.905824176,1.997960165,2.068653846,2.119210165,2.149629121,2.179732143,2.21978022
1.456,1.728653846,1.889251374,1.981971154,2.048035714,2.098660714,2.129299451,2.159402473,2.199340659
1.456,1.720576923,1.882548077,1.961651786,2.027321429,2.068489011,2.09896978,2.129072802,2.168901099
1.46,1.7371875,1.872616758,1.946105769,2.006868132,2.057561813,2.08864011,2.118743132,2.148846154
1.462,1.740157967,1.866943681,1.935669643,1.996208791,2.047012363,2.07831044,2.108413462,2.138516484
1.464,1.741256868,1.859697802,1.919522665,1.974711538,2.025364011,2.057321429,2.087424451,2.117527473
1.458,1.696510989,1.817458791,1.878918269,1.925178571,1.965851648,1.996991758,2.02709478,2.057197802
1.44,1.673166209,1.7825,1.843313874,1.894093407,1.94426511,1.976662088,2.00676511,2.036868132
1.368,1.536995192,1.650721154,1.717046703,1.772898352,1.823715659,1.86510989,1.905247253,1.954230769
1.344,1.532493132,1.646105769,1.710291896,1.761346154,1.811517857,1.86168956,1.911861264,1.962032967
1.32,1.467647665,1.562815934,1.6246875,1.679876374,1.730968407,1.78114011,1.831311813,1.881483516
1.312,1.432410714,1.522836538,1.584083104,1.639271978,1.690418956,1.740590659,1.790762363,1.840934066
1.31,1.435120192,1.522967033,1.583478709,1.638667582,1.689869505,1.740041209,1.790212912,1.840384615
1.31,1.443856456,1.535968407,1.601771978,1.658063187,1.717184066,1.769491758,1.819663462,1.869835165
1.306,1.435065247,1.528166209,1.594793956,1.655,1.715206044,1.767843407,1.81801511,1.868186813
1.302,1.427445055,1.522232143,1.589134615,1.645645604,1.704546703,1.757293956,1.807465659,1.865164835
1.301,1.412537775,1.506298077,1.573475275,1.633681319,1.693887363,1.746744505,1.796916209,1.854505495
1.302,1.419807692,1.518914835,1.58424794,1.643021978,1.696023352,1.746195055,1.80364011,1.863846154
1.301,1.405010302,1.502925824,1.568643544,1.623832418,1.675473901,1.725645604,1.775817308,1.833186813
1.301,1.411219093,1.506627747,1.571830357,1.623653846,1.680590659,1.733997253,1.784168956,1.841208791
1.301,1.411473214,1.507417582,1.571225962,1.623104396,1.673276099,1.723447802,1.780343407,1.840549451
1.301,1.410099588,1.506538462,1.570621566,1.622554945,1.672726648,1.722898352,1.779684066,1.83989011
1.301,1.408725962,1.511991758,1.583200549,1.640206044,1.698612637,1.752348901,1.809024725,1.869230769
